player,Up,Down,Right,Left,Select,Start,Y,B,X,A,L,R
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,True,True,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,True,True,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,True,True,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,True,True,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,True,True,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,False,False,False,False,False,False,False,False,False,True,False,False
1,True,False,False,False,False,False,False,False,False,True,False,False
1,True,False,False,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,True,False,False
1,True,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,True,False,False
1,True,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,True,False,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,False,False,False,False,False,True,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,True,False,False,False,False,False
1,True,False,False,False,False,False,True,False,False,False,False,False
1,True,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,True,False,False,False,False,False
1,True,False,True,False,False,False,True,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,True,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,True,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,True,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,True,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,True,False,False,False,False,False
1,False,False,True,False,False,False,True,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,True,False,False,False,False,False
1,False,False,True,False,False,False,True,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,True,False,False,False,False,False
1,False,True,True,False,False,False,True,False,False,False,False,False
1,False,True,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,True,False,False
1,True,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,True,False,True,False,False,False,False,False,False,True,False,False
1,True,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,True,False,True,False,False,False,False,False,False,True,False,False
1,True,False,True,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,True,False,True,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,True,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,True,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,True,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,True,False,False
1,True,False,False,False,False,False,False,False,False,True,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,True,False,True,False,False,False,False,False,False,True,False,False
1,True,False,False,False,False,False,False,False,False,False,False,False
1,True,False,False,False,False,False,False,False,False,True,False,False
1,True,False,False,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,True,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,True,False,False
1,False,False,False,False,False,False,False,False,False,True,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,True,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,True,False,True,False,False,False
1,False,False,False,True,False,False,False,False,True,False,False,False
1,False,False,False,False,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,False,False,False,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,False,False,False,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,False,False,False,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,True,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,True,False,True,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,True,False,True,False,False,False
1,False,False,False,False,False,False,True,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,True,False,True,False,False,False
1,False,False,False,False,False,False,True,False,True,False,False,False
1,False,False,False,False,False,False,True,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,True,False,False,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,True,False,False,True,False,False,True,False,False,False,False,False
1,True,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,True,False,False,True,False,False,False,False,False,False,False,False
1,True,False,False,False,False,False,False,False,False,False,False,False
1,True,False,False,True,False,False,True,False,False,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,True,False,False,True,False,False,False,False,False,False,False,False
1,True,False,False,False,False,False,True,False,False,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,True,False,False,False,False,False,True,False,False,False,False,False
1,True,False,False,True,False,False,True,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,True,False,False,False,False,False,False,False,False,False,False,False
1,True,False,False,False,False,False,True,False,False,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,True,False,False,False,False,False
1,False,True,False,False,False,False,True,False,False,False,False,False
1,False,True,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,True,False,True,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,False,False,True,False,False,False
1,True,False,False,True,False,False,False,False,True,False,False,False
1,True,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,True,False,False,False
1,True,False,False,True,False,False,True,False,False,False,False,False
1,True,False,False,False,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,True,False,False,False,False,False,False,False,True,False,False,False
1,True,False,False,True,False,False,True,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,False,False,False,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,True,False,False,False
1,False,True,False,True,False,False,True,False,False,False,False,False
1,False,True,False,False,False,False,False,False,True,False,False,False
1,False,True,False,True,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,True,False,True,False,False,True,False,True,False,False,False
1,False,True,False,False,False,False,False,False,True,False,False,False
1,False,True,False,True,False,False,True,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,True,False,False,False,False,True,False,True,False,False,False
1,False,True,False,False,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,True,False,True,False,False,True,False,True,False,False,False
1,False,True,False,True,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,True,False,True,False,False,True,False,False,False,False,False
1,False,True,False,False,False,False,False,False,True,False,False,False
1,False,True,False,True,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,True,False,True,False,False,True,False,True,False,False,False
1,False,True,False,False,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,True,False,False,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,False,False,True,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,True,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,True,False,False,False,False,False,False,True,False,False,False
1,False,True,False,True,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,True,False,False,False
1,False,True,False,True,False,False,True,False,False,False,False,False
1,False,True,False,False,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,True,False,False,False,False,True,False,True,False,False,False
1,False,True,False,True,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,True,False,False,False,False,False,False,True,False,False,False
1,False,False,False,True,False,False,True,False,False,False,False,False
1,False,True,False,True,False,False,True,False,False,False,False,False
1,False,True,False,False,False,False,False,False,True,False,False,False
1,False,False,False,False,False,False,False,False,True,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,True,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,True,False,False,False,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,False,False,False,False,False,False,True,False,False
1,False,True,False,False,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,True,False,False,True,False,False,False,False,False,False,False,False
1,True,False,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,True,False,False
1,False,True,False,False,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,True,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,True,False,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,True,False,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,False,False,False,False,False,False,True,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,True,False,False,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,True,False,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,True,False,False,True,False,False,False,False,False,True,False,False
1,True,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,True,False,False,False,False,False,False,False,False,True,False,False
1,True,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,True,False,False
1,True,False,False,False,False,False,False,False,False,True,False,False
1,True,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,True,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,False,False,False,False,False,False,True,False,False
1,False,True,False,False,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,True,False,False,False,False,False,False,False,False,False
1,False,False,True,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,True,False,False,False,False,False,False,False,True,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,True,False,False,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,False,False,False,False,False,False,True,False,False
1,False,True,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,False,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,True,False,False,True,False,False,False,False,False,True,False,False
1,True,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,True,False,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,True,False,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,True,False,False,True,False,False,False,False,False,True,False,False
1,True,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
1,False,True,False,True,False,False,False,False,False,False,False,False
1,False,False,False,True,False,False,False,False,False,False,False,False
1,False,True,False,True,False,False,False,False,False,True,False,False
